No.;Layer;Latency [ms];Energy [mJ]
1;/backbone/conv1/Conv;30.22656;3.0687209657917554
2;/backbone/layer1/layer1.0/conv1/Conv;2.87872;0.7998382389371674
3;/backbone/layer1/layer1.0/conv2/Conv;17.27232;2.7850255146245977
4;/backbone/layer1/layer1.0/conv3/Conv;11.51488;2.057996696137655
5;/backbone/layer1/layer1.0/downsample/downsample.0/Conv;11.51488;2.057996696137655
6;/backbone/layer1/layer1.1/conv1/Conv;11.51488;2.4639013623017147
7;/backbone/layer1/layer1.1/conv2/Conv;17.27232;2.7850255146245977
8;/backbone/layer1/layer1.1/conv3/Conv;11.51488;2.057996696137655
9;/backbone/layer1/layer1.2/conv1/Conv;11.51488;2.4639013623017147
10;/backbone/layer1/layer1.2/conv2/Conv;17.27232;2.7850255146245977
11;/backbone/layer1/layer1.2/conv3/Conv;11.51488;2.057996696137655
12;/backbone/layer2/layer2.0/conv1/Conv;23.02976;3.6567734009403945
13;/backbone/layer2/layer2.0/conv2/Conv;17.37216;3.269476497200369
14;/backbone/layer2/layer2.0/conv3/Conv;11.58144;1.6689480292798424
15;/backbone/layer2/layer2.0/downsample/downsample.0/Conv;23.16288;3.7002521340085126
16;/backbone/layer2/layer2.1/conv1/Conv;11.58144;2.3846758285917216
17;/backbone/layer2/layer2.1/conv2/Conv;17.37216;2.6923688138499853
18;/backbone/layer2/layer2.1/conv3/Conv;11.58144;1.6689480292798424
19;/backbone/layer2/layer2.2/conv1/Conv;11.58144;2.3846758285917216
20;/backbone/layer2/layer2.2/conv2/Conv;17.37216;2.6923688138499853
21;/backbone/layer2/layer2.2/conv3/Conv;11.58144;1.6689480292798424
22;/backbone/layer2/layer2.3/conv1/Conv;11.58144;2.3846758285917216
23;/backbone/layer2/layer2.3/conv2/Conv;17.37216;2.6923688138499853
24;/backbone/layer2/layer2.3/conv3/Conv;11.58144;1.6689480292798424
25;/backbone/layer3/layer3.0/conv1/Conv;23.16288;3.4734812414955245
26;/backbone/layer3/layer3.0/conv2/Conv;69.48864;10.618123380589408
27;/backbone/layer3/layer3.0/conv3/Conv;46.32576;6.325852902557279
28;/backbone/layer3/layer3.0/downsample/downsample.0/Conv;92.65152;12.697255995652528
29;/backbone/layer3/layer3.1/conv1/Conv;46.32576;7.7180403436813
30;/backbone/layer3/layer3.1/conv2/Conv;69.48864;10.618123380589408
31;/backbone/layer3/layer3.1/conv3/Conv;46.32576;6.325852902557279
32;/backbone/layer3/layer3.2/conv1/Conv;46.32576;7.7180403436813
33;/backbone/layer3/layer3.2/conv2/Conv;69.48864;10.618123380589408
34;/backbone/layer3/layer3.2/conv3/Conv;46.32576;6.325852902557279
35;/backbone/layer3/layer3.3/conv1/Conv;46.32576;7.7180403436813
36;/backbone/layer3/layer3.3/conv2/Conv;69.48864;10.618123380589408
37;/backbone/layer3/layer3.3/conv3/Conv;46.32576;6.325852902557279
38;/backbone/layer3/layer3.4/conv1/Conv;46.32576;7.7180403436813
39;/backbone/layer3/layer3.4/conv2/Conv;69.48864;10.618123380589408
40;/backbone/layer3/layer3.4/conv3/Conv;46.32576;6.325852902557279
41;/backbone/layer3/layer3.5/conv1/Conv;46.32576;7.7180403436813
42;/backbone/layer3/layer3.5/conv2/Conv;69.48864;10.618123380589408
43;/backbone/layer3/layer3.5/conv3/Conv;46.32576;6.325852902557279
44;/backbone/layer4/layer4.0/conv1/Conv;92.65152;14.888179746377434
45;/backbone/layer4/layer4.0/conv2/Conv;277.95456;40.18540097543588
46;/backbone/layer4/layer4.0/conv3/Conv;185.30304;28.18435901520085
47;/backbone/layer4/layer4.0/downsample/downsample.0/Conv;370.60608;58.10100535073586
48;/backbone/layer4/layer4.1/conv1/Conv;185.30304;24.917447356092193
49;/backbone/layer4/layer4.1/conv2/Conv;277.95456;40.18540097543588
50;/backbone/layer4/layer4.1/conv3/Conv;185.30304;28.18435901520085
51;/backbone/layer4/layer4.2/conv1/Conv;185.30304;24.917447356092193
52;/backbone/layer4/layer4.2/conv2/Conv;277.95456;40.18540097543588
53;/backbone/layer4/layer4.2/conv3/Conv;185.30304;28.18435901520085
54;/classifier/classifier.0/Conv;1111.81824;158.9953245352483
55;/classifier/classifier.4/Conv;1.9488;0.7888547240162826
56;/aux_classifier/aux_classifier.0/Conv;277.95456;42.227357492775276
57;/aux_classifier/aux_classifier.4/Conv;0.9744;0.3993676794758826
