nondom 282
dom 218616
1 Partition(s): 0
2 Partition(s): 0
3 Partition(s): 0
4 Partition(s): 0
5 Partition(s): 0
6 Partition(s): 0
7 Partition(s): 0
8 Partition(s): 0
9 Partition(s): 0
10 Partition(s): 0
11 Partition(s): 9
12 Partition(s): 2
13 Partition(s): 25
14 Partition(s): 2
15 Partition(s): 23
16 Partition(s): 8
17 Partition(s): 11
18 Partition(s): 1
19 Partition(s): 6
20 Partition(s): 7
21 Partition(s): 8
22 Partition(s): 3
23 Partition(s): 5
24 Partition(s): 7
25 Partition(s): 13
26 Partition(s): 5
27 Partition(s): 14
28 Partition(s): 17
29 Partition(s): 13
30 Partition(s): 19
31 Partition(s): 16
32 Partition(s): 7
33 Partition(s): 17
34 Partition(s): 7
35 Partition(s): 8
36 Partition(s): 7
37 Partition(s): 8
38 Partition(s): 6
39 Partition(s): 2
40 Partition(s): 6
