nondom 293
dom 69576
1 Partition(s): 3
2 Partition(s): 2
3 Partition(s): 6
4 Partition(s): 8
5 Partition(s): 10
6 Partition(s): 20
7 Partition(s): 20
8 Partition(s): 17
9 Partition(s): 34
10 Partition(s): 33
11 Partition(s): 27
12 Partition(s): 42
13 Partition(s): 28
14 Partition(s): 18
15 Partition(s): 9
16 Partition(s): 11
17 Partition(s): 3
18 Partition(s): 1
19 Partition(s): 1
