No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/Conv;11.796479999999999;2.1350522017668503
2;/layer1/layer1.0/conv1/Conv;20.97152;4.5642544246269425
3;/layer1/layer1.0/conv2/Conv;251.65823999999998;20.56381922142424
4;/layer1/layer1.0/conv3/Conv;83.88608;13.07697606586018
5;/layer1/layer1.0/shortcut/shortcut.0/Conv;83.88608;13.07697606586018
6;/layer1/layer1.1/conv1/Conv;83.88608;16.351641682331657
7;/layer1/layer1.1/conv2/Conv;251.65823999999998;20.56381922142424
8;/layer1/layer1.1/conv3/Conv;83.88608;13.07697606586018
9;/layer1/layer1.2/conv1/Conv;83.88608;16.351641682331657
10;/layer1/layer1.2/conv2/Conv;251.65823999999998;20.56381922142424
11;/layer1/layer1.2/conv3/Conv;83.88608;13.07697606586018
12;/layer2/layer2.0/conv1/Conv;167.77216;23.394349234593832
13;/layer2/layer2.0/conv2/Conv;251.65823999999998;23.486312378413285
14;/layer2/layer2.0/conv3/Conv;83.88608;11.032734033444534
15;/layer2/layer2.0/shortcut/shortcut.0/Conv;167.77216;20.567172664952928
16;/layer2/layer2.1/conv1/Conv;83.88608;12.502698996366536
17;/layer2/layer2.1/conv2/Conv;251.65823999999998;19.273591103792626
18;/layer2/layer2.1/conv3/Conv;83.88608;11.032734033444534
19;/layer2/layer2.2/conv1/Conv;83.88608;12.502698996366536
20;/layer2/layer2.2/conv2/Conv;251.65823999999998;19.273591103792626
21;/layer2/layer2.2/conv3/Conv;83.88608;11.032734033444534
22;/layer2/layer2.3/conv1/Conv;83.88608;12.502698996366536
23;/layer2/layer2.3/conv2/Conv;251.65823999999998;19.273591103792626
24;/layer2/layer2.3/conv3/Conv;83.88608;11.032734033444534
25;/layer3/layer3.0/conv1/Conv;167.77216;20.718489978099907
26;/layer3/layer3.0/conv2/Conv;251.65823999999998;21.442997815256888
27;/layer3/layer3.0/conv3/Conv;83.88608;10.52667212644599
28;/layer3/layer3.0/shortcut/shortcut.0/Conv;167.77216;21.02751284975482
29;/layer3/layer3.1/conv1/Conv;83.88608;11.428222295001923
30;/layer3/layer3.1/conv2/Conv;251.65823999999998;18.72118353499285
31;/layer3/layer3.1/conv3/Conv;83.88608;10.52667212644599
32;/layer3/layer3.2/conv1/Conv;83.88608;11.428222295001923
33;/layer3/layer3.2/conv2/Conv;251.65823999999998;18.72118353499285
34;/layer3/layer3.2/conv3/Conv;83.88608;10.52667212644599
35;/layer3/layer3.3/conv1/Conv;83.88608;11.428222295001923
36;/layer3/layer3.3/conv2/Conv;251.65823999999998;18.72118353499285
37;/layer3/layer3.3/conv3/Conv;83.88608;10.52667212644599
38;/layer3/layer3.4/conv1/Conv;83.88608;11.428222295001923
39;/layer3/layer3.4/conv2/Conv;251.65823999999998;18.72118353499285
40;/layer3/layer3.4/conv3/Conv;83.88608;10.52667212644599
41;/layer3/layer3.5/conv1/Conv;83.88608;11.428222295001923
42;/layer3/layer3.5/conv2/Conv;251.65823999999998;18.72118353499285
43;/layer3/layer3.5/conv3/Conv;83.88608;10.52667212644599
44;/layer4/layer4.0/conv1/Conv;167.77216;19.074076482209062
45;/layer4/layer4.0/conv2/Conv;251.65823999999998;20.220587943575797
46;/layer4/layer4.0/conv3/Conv;83.88608;13.124746851814788
47;/layer4/layer4.0/shortcut/shortcut.0/Conv;167.77216;21.22040143159831
48;/layer4/layer4.1/conv1/Conv;83.88608;10.449875985693073
49;/layer4/layer4.1/conv2/Conv;251.65823999999998;18.87731388364131
50;/layer4/layer4.1/conv3/Conv;83.88608;13.124746851814788
51;/layer4/layer4.2/conv1/Conv;83.88608;10.449875985693073
52;/layer4/layer4.2/conv2/Conv;251.65823999999998;18.87731388364131
53;/layer4/layer4.2/conv3/Conv;83.88608;13.124746851814788
54;/linear/Gemm;0.65536;0.17146120275309346
