No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/Conv;7.864319999999999;1.880081965843105
2;/layer1/layer1.0/conv1/Conv;251.65823999999998;16.88420227785338
3;/layer1/layer1.0/conv2/Conv;251.65823999999998;16.88420227785338
4;/layer1/layer1.1/conv1/Conv;251.65823999999998;16.88420227785338
5;/layer1/layer1.1/conv2/Conv;251.65823999999998;16.88420227785338
6;/layer2/layer2.0/conv1/Conv;125.82911999999999;10.224347514741766
7;/layer2/layer2.0/conv2/Conv;251.65823999999998;15.619623093754711
8;/layer2/layer2.0/shortcut/shortcut.0/Conv;10.48576;2.458599349880431
9;/layer2/layer2.1/conv1/Conv;251.65823999999998;15.619623093754711
10;/layer2/layer2.1/conv2/Conv;251.65823999999998;15.619623093754711
11;/layer3/layer3.0/conv1/Conv;125.82911999999999;8.379504216584419
12;/layer3/layer3.0/conv2/Conv;251.65823999999998;14.903557301268956
13;/layer3/layer3.0/shortcut/shortcut.0/Conv;10.48576;1.1351748536098938
14;/layer3/layer3.1/conv1/Conv;251.65823999999998;14.903557301268956
15;/layer3/layer3.1/conv2/Conv;251.65823999999998;14.903557301268956
16;/layer4/layer4.0/conv1/Conv;125.82911999999999;7.951559459079132
17;/layer4/layer4.0/conv2/Conv;251.65823999999998;16.078473095091184
18;/layer4/layer4.0/shortcut/shortcut.0/Conv;10.48576;1.0548866892306217
19;/layer4/layer4.1/conv1/Conv;251.65823999999998;16.078473095091184
20;/layer4/layer4.1/conv2/Conv;251.65823999999998;16.078473095091184
21;/linear/Gemm;0.04096;0.016363869513122412
